time_completed,M,Z,batch_size,test_set_size,detector_type,activation,gen_hidden_dim,discim_hidden_dim,avg_validation_loss,avg_test_loss,avg_num_bits_changed,auc,orig_mal_detect_rate,mod_mal_detect_rate,ben_mal_detect_rate
2025-02-18 21:52:41.492659,128,10,32,361,RandomForest,LeakyReLU,"[256, 256]","[256, 256]",-1.335125803947449,-1.325265884399414,24.059,0.90736347,0.99267399,0.57875458,0.09090909
2025-02-18 22:02:41.834910,128,10,32,361,RandomForest,LeakyReLU,"[256, 256]","[256, 256]",-1.279357790946960,-1.293516039848328,22.326,0.91808192,0.99633700,0.64468864,0.09090909
2025-02-18 22:08:13.400198,128,10,32,361,RandomForest,LeakyReLU,"[256, 256]","[256, 256]",-1.340218186378479,-1.309713602066040,23.256,0.88998501,0.99633700,0.60073260,0.10227273
2025-02-18 22:14:56.521387,128,10,32,361,RandomForest,LeakyReLU,"[256, 256]","[256, 256]",-1.337050676345825,-1.343137383460999,21.205,0.91410673,0.99633700,0.64835165,0.09090909
2025-02-18 22:20:23.801953,128,10,32,361,RandomForest,LeakyReLU,"[256, 256]","[256, 256]",-1.304127335548401,-1.300204873085022,22.055,0.89343989,0.99633700,0.62271062,0.10227273
2025-02-22 10:45:11.216852,128,10,32,361,RandomForest,LeakyReLU,"[256, 256]","[256, 256]",-0.665290594100952,-0.665435433387756,36.000,0.97633616,0.99267399,1.00000000,0.11363636
2025-02-22 11:19:20.484927,128,10,32,361,RandomForest,LeakyReLU,"[256, 256]","[256, 256]",-0.747414171695709,-0.746340334415436,43.103,0.97531635,0.99267399,1.00000000,0.09090909
2025-02-22 11:33:27.544435,128,10,32,361,RandomForest,LeakyReLU,"[256, 256]","[256, 256]",-0.624173521995544,-0.623403847217560,39.766,0.96436896,0.99267399,1.00000000,0.11363636
2025-02-22 11:42:59.651365,128,10,32,361,RandomForest,LeakyReLU,"[256, 256]","[256, 256]",-0.654193699359894,-0.657249808311462,16.022,0.94773976,0.99633700,0.80952381,0.11363636
2025-03-01 12:50:14.479406,128,10,32,361,RandomForest,LeakyReLU,"[256, 256]","[256, 256]",-0.679772734642029,-0.679108977317810,39.591,0.98984349,0.87500000,0.00000000,0.00366300
2025-03-01 12:50:49.476282,128,10,32,361,RandomForest,LeakyReLU,"[256, 256]","[256, 256]",-0.709914565086365,-0.710856437683105,48.045,0.98056111,0.86363637,0.00000000,0.00366300
2025-03-01 12:52:13.471835,128,10,32,361,RandomForest,LeakyReLU,"[256, 256]","[256, 256]",-0.698716521263123,-0.699723482131958,44.886,0.97895854,0.87500000,0.00000000,0.00366300
2025-03-01 13:02:17.343565,128,10,32,361,RandomForest,LeakyReLU,"[256, 256]","[256, 256]",-0.736713826656342,-0.736806750297546,46.375,0.97673160,0.87500000,0.00000000,0.01098901
2025-03-01 13:03:05.388673,128,10,32,361,RandomForest,LeakyReLU,"[256, 256]","[256, 256]",-0.761515021324158,-0.762741446495056,46.330,0.97587829,0.86363637,0.05681818,0.00732601
2025-03-01 13:04:32.022928,128,10,32,361,RandomForest,LeakyReLU,"[256, 256]","[256, 256]",-0.687697589397430,-0.687894940376282,41.136,0.97542041,0.88636363,0.00000000,0.00732601
2025-03-01 13:07:46.680295,128,10,32,361,RandomForest,LeakyReLU,"[256, 256]","[256, 256]",-0.706929206848145,-0.709583699703217,43.432,0.97296454,0.87500000,0.04545455,0.00366300
2025-03-01 13:12:14.880522,128,10,32,361,RandomForest,LeakyReLU,"[256, 256]","[256, 256]",-0.766609549522400,-0.769573390483856,49.182,0.97421329,0.87500000,0.00000000,0.00732601
2025-03-01 13:20:07.262368,128,10,32,361,RandomForest,LeakyReLU,"[256, 256]","[256, 256]",-0.729202508926392,-0.727443218231201,47.398,0.96299534,0.87500000,0.00000000,0.00366300
2025-03-01 13:22:42.142502,128,10,32,361,RandomForest,LeakyReLU,"[256, 256]","[256, 256]",-0.732414186000824,-0.735006213188171,36.455,0.98374542,0.87500000,0.02272727,0.00366300
2025-03-01 13:49:09.745902,128,10,32,361,RandomForest,LeakyReLU,"[256, 256]","[256, 256]",-0.673702597618103,-0.673953890800476,36.784,0.96320346,0.88636363,0.05681818,0.00366300
2025-03-08 11:44:24.443951,22761,10,32,320,RandomForest,LeakyReLU,"[256, 256]","[256, 256]",-0.612415671348572,-0.611735045909882,11274.219,0.93480469,0.83749998,0.81875000,0.06875000
2025-03-12 17:44:52.297215,22761,100,32,320,RandomForest,LeakyReLU,"[256, 256]","[256, 256]",-16.118095397949219,-16.118095397949219,11233.231,0.84695312,0.85624999,0.00000000,0.06875000
2025-03-15 17:41:33.265527,22761,100,32,320,RandomForest,LeakyReLU,"[256, 256]","[256, 256]",-0.325291991233826,-0.332569241523743,162.094,0.96117188,0.84375000,0.85000000,0.06250000
2025-03-15 18:27:31.216680,22761,10000,32,320,RandomForest,Tanh,"[1000, 512, 256, 512, 1000]","[256, 256]",-3.953928709030151,-4.001152992248535,826.537,0.91375000,0.84375000,0.05000000,0.06250000
2025-03-15 18:46:34.884657,22761,10000,32,320,RandomForest,Tanh,"[1000, 512, 256, 512, 1000]","[256, 256]",-9.885113716125488,-9.885389328002930,3478.538,0.84339844,0.84375000,0.00000000,0.06875000
2025-03-15 19:35:59.293590,22761,10000,32,320,RandomForest,Tanh,"[1000, 512, 256, 512, 1000]","[256, 256]",-16.118095397949219,-16.118095397949219,4555.138,0.87062500,0.85624999,0.00000000,0.06875000
2025-03-15 21:07:44.397756,22761,10000,32,320,RandomForest,Tanh,"[1000, 512, 256, 512, 1000]","[256, 256]",-16.118095397949219,-16.118095397949219,2278.312,0.90156250,0.85624999,0.00000000,0.06875000
2025-03-16 16:37:13.174943,10000,1000,32,320,RandomForest,Tanh,"[1000, 512, 256, 512, 1000]","[256, 256]",-11.529959678649902,-11.554673194885254,1833.887,0.90414063,0.84375000,0.00000000,0.06875000
2025-03-16 18:50:44.980609,200,60,32,3200,RandomForest,Tanh,"[256, 256]","[256, 256]",-13.011651039123535,-12.912024497985840,86.820,0.87173320,0.90187502,0.04750000,0.05562500
2025-03-18 16:56:26.965094,300,60,32,3200,RandomForest,Tanh,"[256, 256]","[256, 256]",-15.904181480407715,-15.842006683349609,119.413,0.86978184,0.89249998,0.00312500,0.05500000
2025-03-18 18:45:30.742766,200,60,32,3200,RandomForest,Tanh,"[256, 256]","[256, 256]",-13.863760948181152,-13.764422416687012,59.260,0.87122578,0.88375002,0.04250000,0.04437500
